"sorbitol anhydride esters (a mixture of sorbitan monostearate, polyoxyethylene (20) sorbitan mono stearate (polysorbate 60) and polyoxyethylene (20) sorbitan monolaurate (polysorbate 20)",REG
bois de rose,ESO
bois de rose,GRAS
boldus leaves,REG
boldus leaves,FL/ADJ
"borax - misc, ill, no petition filed, illegal for use in foods incl. wax ctg for fruits and vegetables. mid permits use in export meats.",MID
"borax - misc, ill, no petition filed, illegal for use in foods incl. wax ctg for fruits and vegetables. mid permits use in export meats.",MISC
"borax - misc, ill, no petition filed, illegal for use in foods incl. wax ctg for fruits and vegetables. mid permits use in export meats.",ILL
boron,REG
boron,MISC
boronia flowers,GMP
boronia flowers,REG
boronia flowers,FL/ADJ
bromelin or bromelain (spelling optional),ENZ
bromelin or bromelain (spelling optional),MIA
bromelin or bromelain (spelling optional),REG
bromelin or bromelain (spelling optional),MISC
brominated vegetable oil,STAB
brominated vegetable oil,INTERM/REG
bryonia root,FLA/ADJ
bryonia root,GMP
bryonia root,REG
bucha leaves oil,GMP
bucha leaves oil,REG
bucha leaves oil,FL/ADJ
buckbeen leaves,GMP
buckbeen leaves,REG
buckbeen leaves,FL/ADJ
buquinolate,REG
buquinolate,FEED
butadiene styrene rubber,REG
butadiene styrene rubber,MISC
"butane, n-butane, isobutane",MISC
"butane, n-butane, isobutane",GRAS
butoxy monoether of mixed (ethylene-propylene) polyalkylene glycol,SANI
butoxy monoether of mixed (ethylene-propylene) polyalkylene glycol,GMP
butoxy monoether of mixed (ethylene-propylene) polyalkylene glycol,REG
n-butoxypolyoxyethylene polyoxypropylene glycol,GMP
n-butoxypolyoxyethylene polyoxypropylene glycol,REG
butter starter distillate,GMP
butter starter distillate,FLAV
butter starter distillate,FL/ADJ
butter starter distillate,GRAS
butyl alcohol,REG
butyl alcohol,MISC
"1,3-butylene glycol",GMP
"1,3-butylene glycol",SOLV
"1,3-butylene glycol",REG
tert-butylhydroquinone,AOX
tert-butylhydroquinone,REG
tert-butylhydroquinone,TBHQ
butyl rubber,REG
butyl rubber,MISC
butyl stearate,REG
cacao,ESO
cacao,GRAS
"cadmium sulfide - color, ill, prior sanction for use as colorant in polystyrenes withdrawn - fd 1-8-69",COLOR
"cadmium sulfide - color, ill, prior sanction for use as colorant in polystyrenes withdrawn - fd 1-8-69",ILL
caffeine,MISC
caffeine,GRAS
cajeput,GMP
cajeput,REG
cajeput,FL/ADJ
"calamus, root, oil or extract - flav, ill, illegal in foods",FLAV
"calamus, root, oil or extract - flav, ill, illegal in foods",ILL
calcium acetate,SEQ
calcium acetate,GRAS
calcium ascorbate,PRES
calcium ascorbate,GRAS
calcium bromide,SANI
calcium bromide,REG
calcium carbonate,EMUL
calcium carbonate,DS/NUTR
calcium carbonate,MISC
calcium carbonate,GRAS
calcium carbonate,GMP
calcium carbonate,GRAS/FS
calcium carbonate,REG
calcium caseinate,MISC
calcium chloride,REG
calcium chloride,VET
calcium chloride,GRAS/FS
calcium chloride,MISC
calcium citrate,DS/NUTR
calcium citrate,MISC
calcium citrate,GRAS
calcium citrate,GMP
calcium citrate,GRAS/FS
calcium cyclamate,GRAS
calcium cyclamate,NNS
calcium cyclamate,ILL
calcium diacetate,SEQ
calcium diacetate,GRAS
calcium dioxide (ca peroxide),MISC
calcium disodium ethylenediamine-tetraacetate [(calcium ethylenedinitrilo) tetraacetate]; calcium disodium edta,REG/MIA
calcium disodium ethylenediamine-tetraacetate [(calcium ethylenedinitrilo) tetraacetate]; calcium disodium edta,PRES
calcium disodium ethylenediamine-tetraacetate [(calcium ethylenedinitrilo) tetraacetate]; calcium disodium edta,MISC
calcium disodium ethylenediamine-tetraacetate [(calcium ethylenedinitrilo) tetraacetate]; calcium disodium edta,EDTA
calcium disodium ethylenediamine-tetraacetate [(calcium ethylenedinitrilo) tetraacetate]; calcium disodium edta,REG
calcium gluconate,NUTR/DS
calcium gluconate,MISC
calcium gluconate,GRAS
calcium gluconate,GMP
calcium gluconate,GRAS/FS
calcium hexametaphosphate,SEQ
calcium hexametaphosphate,GRAS
calcium hydroxide,MISC/B
calcium hydroxide,GRAS/FS
calcium hypochlorite,SANI
calcium hypochlorite,REG
calcium hypochlorite,MISC
calcium iodate,NUTR
calcium iodate,MISC
calcium iodate,GRAS
calcium iodobehenate,GRAS
calcium lactate,GRAS/FS
calcium lactate,MISC
calcium lactobionate -,GMP
calcium lactobionate -,REG
calcium lactobionate -,MISC
calcium lignin sulfonate (and/or sodium salt),REG
calcium lignin sulfonate (and/or sodium salt),FEED
calcium lignosulfonate,GMP
calcium lignosulfonate,REG
calcium lignosulfonate,SP/ADJ
calcium orthophosphate,GMP
calcium orthophosphate,GRAS
calcium oxide,DS/NUTR
calcium oxide,MISC
calcium oxide,GRAS
calcium oxide,GMP
calcium oxide,GRAS/FS
calcium pantothenate,NUTR/DS
calcium pantothenate,GMP
calcium pantothenate,GRAS
calcium pantothenate (calcium chloride double salt of) d- or dl-form,GMP
calcium pantothenate (calcium chloride double salt of) d- or dl-form,REG
calcium periodate,REG
calcium periodate,FEED
calcium peroxide (same as calcium dioxide),MISC
calcium phosphate (mono-),GRAS/FS
calcium phosphate (mono-),MISC
"calcium phosphate (mono-, di-)",NUTR/MISC
"calcium phosphate (mono-, di-)",GRAS/FS
"calcium phosphate (mono-, di, or tribasic)",DS/NUTR
"calcium phosphate (mono-, di, or tribasic)",MISC
"calcium phosphate (mono-, di, or tribasic)",GRAS
"calcium phosphate (mono-, di, or tribasic)",GMP
"calcium phosphate (mono-, di, or tribasic)",GRAS/FS
calcium propionate,PRES
calcium propionate,GRAS/FS
calcium pyrophosphate,NUTR/DS
calcium pyrophosphate,GMP
calcium pyrophosphate,GRAS
